id,Label,Number_Points,X,Y,20
0,0,3,0.528431,0.685965,1200
1,1,1,0.476471,0.696491,400
2,2,4,0.477206,0.725877,1600
3,3,4,0.478676,0.765789,1600
4,4,5,0.53,0.729825,2000
5,5,3,0.534314,0.773099,1200
6,6,2,0.472794,0.80614,800
7,7,3,0.523529,0.812865,1200
8,8,3,0.578431,0.811111,1200
9,9,4,0.579044,0.773246,1600
10,10,2,0.618382,0.817544,800
11,11,5,0.58,0.729123,2000
12,12,1,0.577941,0.687719,400
13,13,3,0.628431,0.727485,1200
14,14,2,0.618382,0.767544,800
15,15,1,0.369118,0.952632,400
16,16,1,0.35,0.914035,400
17,17,4,0.316176,0.932895,1600
18,18,1,0.327941,0.957895,400
19,19,2,0.282353,0.961404,800
20,20,1,0.311765,0.877193,400
21,21,3,0.279412,0.925146,1200
22,22,1,0.305882,0.82807,400
23,23,5,0.270588,0.871579,2000
24,24,5,0.23,0.920702,2000
25,25,1,0.239706,0.954386,400
26,26,4,0.181618,0.920614,1600
27,27,2,0.217647,0.868421,800
28,28,2,0.261765,0.816667,800
29,29,2,0.274265,0.779825,800
30,30,3,0.227451,0.821053,1200
31,31,4,0.172059,0.875439,1600
32,32,3,0.135784,0.916374,1200
33,33,5,0.122353,0.875088,2000
34,34,5,0.176176,0.828421,2000
35,35,3,0.234804,0.776608,1200
36,36,3,0.176471,0.779532,1200
37,37,5,0.112353,0.822456,2000
38,38,4,0.079779,0.867105,1600
39,39,3,0.064216,0.824561,1200
40,40,1,0.035294,0.84386,400
41,41,4,0.128309,0.774561,1600
42,42,4,0.073897,0.773684,1600
43,43,3,0.02598,0.784211,1200
44,44,2,0.030882,0.729825,800
45,45,4,0.119118,0.719298,1600
46,46,4,0.074265,0.730263,1600
47,47,2,0.041176,0.676316,800
48,48,3,0.077941,0.664912,1200
49,49,4,0.121691,0.676316,1600
50,50,2,0.116912,0.626316,800
51,51,3,0.078922,0.623392,1200
52,52,1,0.082353,0.587719,400
53,53,2,0.125,0.580702,800
54,54,5,0.172941,0.678246,2000
55,55,3,0.169608,0.624561,1200
56,56,5,0.170882,0.573684,2000
57,57,4,0.228676,0.571491,1600
58,58,1,0.217647,0.535088,400
59,59,5,0.175588,0.728421,2000
60,60,5,0.225882,0.728772,2000
61,61,3,0.268137,0.725146,1200
62,62,4,0.225735,0.673684,1600
63,63,5,0.221176,0.624912,2000
64,64,2,0.293382,0.685088,800
65,65,3,0.27598,0.632164,1200
66,66,4,0.275,0.563596,1600
67,67,1,0.316176,0.584211,400
68,68,3,0.315196,0.623392,1200
69,69,1,0.358824,0.585965,400
70,70,1,0.367647,0.549123,400
71,71,2,0.318382,0.538596,800
72,72,1,0.269118,0.522807,400
73,73,3,0.920098,0.084795,1200
74,74,2,0.868382,0.081579,800
75,75,3,0.826961,0.120468,1200
76,76,3,0.833333,0.167251,1200
77,77,1,0.794118,0.182456,400
78,78,2,0.788235,0.220175,800
79,79,2,0.817647,0.216667,800
80,80,3,0.871569,0.176023,1200
81,81,4,0.871691,0.117982,1600
82,82,4,0.916544,0.120614,1600
83,83,1,0.954412,0.091228,400
84,84,2,0.968382,0.132456,800
85,85,2,0.977941,0.176316,800
86,86,5,0.918529,0.175088,2000
87,87,4,0.873529,0.230702,1600
88,88,6,0.820588,0.274269,2400
89,89,2,0.7875,0.278947,800
90,90,3,0.876961,0.27193,1200
91,91,3,0.927941,0.215789,1200
92,92,4,0.962868,0.220175,1600
93,93,5,0.973235,0.275088,2000
94,94,4,0.926838,0.276754,1600
95,95,4,0.871324,0.325,1600
96,96,5,0.824412,0.330526,2000
97,97,4,0.820588,0.37193,1600
98,98,5,0.871765,0.375789,2000
99,99,5,0.878235,0.418246,2000
100,100,5,0.930588,0.372281,2000
101,101,3,0.92598,0.321053,1200
102,102,1,0.957353,0.324561,400
103,103,1,0.964706,0.352632,400
104,104,1,0.913235,0.405263,400
105,105,2,0.213971,0.325439,800
106,106,3,0.22598,0.27193,1200
107,107,4,0.271691,0.314035,1600
108,108,6,0.282108,0.275731,2400
109,109,1,0.291176,0.357895,400
110,110,5,0.327647,0.324211,2000
111,111,3,0.331863,0.368421,1200
112,112,1,0.411765,0.4,400
113,113,3,0.381373,0.37193,1200
114,114,4,0.422059,0.369298,1600
115,115,6,0.373039,0.316374,2400
116,116,3,0.232843,0.22924,1200
117,117,3,0.227941,0.175439,1200
118,118,4,0.272426,0.220614,1600
119,119,6,0.276471,0.176023,2400
120,120,5,0.317059,0.22386,2000
121,121,4,0.331985,0.267982,1600
122,122,7,0.377521,0.271429,2800
123,123,3,0.366176,0.225146,1200
124,124,4,0.326471,0.176316,1600
125,125,2,0.234559,0.133333,800
126,126,5,0.277059,0.128772,2000
127,127,5,0.332353,0.126667,2000
128,128,1,0.245588,0.089474,400
129,129,4,0.276103,0.074561,1600
130,130,6,0.323775,0.078363,2400
131,131,6,0.369608,0.176608,2400
132,132,2,0.324265,0.034211,800
133,133,5,0.375294,0.078246,2000
134,134,4,0.377941,0.032456,1600
135,135,5,0.376765,0.124211,2000
136,136,5,0.422647,0.12807,2000
137,137,5,0.425588,0.075439,2000
138,138,4,0.426838,0.028509,1600
139,139,6,0.469363,0.073684,2400
140,140,4,0.48125,0.030263,1600
141,141,2,0.523529,0.046491,800
142,142,7,0.471429,0.124561,2800
143,143,4,0.416912,0.179386,1600
144,144,7,0.423739,0.227318,2800
145,145,5,0.522353,0.080351,2000
146,146,1,0.551471,0.040351,400
147,147,5,0.573235,0.075439,2000
148,148,6,0.525735,0.133333,2400
149,149,4,0.465809,0.167982,1600
150,150,5,0.473235,0.22,2000
151,151,4,0.424265,0.278947,1600
152,152,4,0.513603,0.184211,1600
153,153,6,0.578922,0.129532,2400
154,154,4,0.614338,0.13114,1600
155,155,5,0.570882,0.179649,2000
156,156,3,0.518137,0.226316,1200
157,157,5,0.471176,0.276491,2000
158,158,5,0.429118,0.32807,2000
159,159,3,0.475,0.323392,1200
160,160,4,0.469485,0.369298,1600
161,161,8,0.525184,0.271491,3200
162,162,5,0.523235,0.314035,2000
163,163,2,0.519853,0.355263,800
164,164,4,0.566912,0.322807,1600
165,165,5,0.571471,0.224211,2000
166,166,4,0.577941,0.272807,1600
167,167,3,0.610784,0.27193,1200
168,168,4,0.620956,0.222807,1600
169,169,3,0.621569,0.178947,1200
170,170,5,0.074706,0.032281,2000
171,171,4,0.129779,0.034649,1600
172,172,9,0.075654,0.076413,3600
173,173,8,0.125,0.076535,3200
174,174,2,0.075735,0.110526,800
175,175,4,0.119853,0.116228,1600
176,176,2,0.156618,0.074561,800
177,177,3,0.884314,0.479532,1200
178,178,3,0.869608,0.531579,1200
179,179,4,0.879779,0.570614,1600
180,180,6,0.831127,0.572222,2400
181,181,2,0.788971,0.625439,800
182,182,5,0.816765,0.628421,2000
183,183,1,0.769118,0.668421,400
184,184,5,0.824118,0.668772,2000
185,185,7,0.870588,0.621554,2800
186,186,1,0.902941,0.54386,400
187,187,4,0.924265,0.582018,1600
188,188,3,0.879412,0.68655,1200
189,189,5,0.826176,0.722807,2000
190,190,3,0.782353,0.716374,1200
191,191,4,0.819485,0.780263,1600
192,192,2,0.776471,0.77193,800
193,193,3,0.869118,0.768421,1200
194,194,3,0.876471,0.72924,1200
195,195,4,0.922794,0.712281,1600
196,196,4,0.923897,0.678509,1600
197,197,5,0.926176,0.634386,2000
198,198,2,0.961029,0.635088,800
199,199,3,0.966667,0.677778,1200
200,200,2,0.969853,0.723684,800
201,201,4,0.963971,0.772368,1600
202,202,6,0.916912,0.775731,2400
203,203,1,0.952941,0.814035,400
204,204,4,0.923897,0.830263,1600
205,205,3,0.869608,0.820468,1200
206,206,5,0.822353,0.820702,2000
207,207,2,0.785294,0.829825,800
208,208,1,0.785294,0.861404,400
209,209,5,0.822059,0.881053,2000
210,210,2,0.839706,0.922807,800
211,211,2,0.881618,0.925439,800
212,212,4,0.867279,0.878947,1600
213,213,4,0.922059,0.876316,1600
214,214,2,0.916176,0.917544,800
215,215,1,0.961765,0.864912,400
216,216,5,0.129118,0.414035,2000
217,217,1,0.172059,0.415789,400
218,218,3,0.178922,0.378947,1200
219,219,5,0.08,0.377544,2000
220,220,3,0.077451,0.331579,1200
221,221,6,0.126471,0.37193,2400
222,222,7,0.121008,0.321805,2800
223,223,4,0.172426,0.327632,1600
,,,,,1407.142857
,,,,,650.2354362
